2023 National Employment Matrix title,2023 National Employment Matrix code,Typical education needed for entry,Work experience in a related occupation
First-line supervisors of retail sales workers,41-1011,High school diploma or equivalent,Less than 5 years
First-line supervisors of non-retail sales workers,41-1012,High school diploma or equivalent,Less than 5 years
Cashiers,41-2011,No formal educational credential,None
Gambling change persons and booth cashiers,41-2012,No formal educational credential,None
Counter and rental clerks,41-2021,No formal educational credential,None
Parts salespersons,41-2022,No formal educational credential,None
Retail salespersons,41-2031,No formal educational credential,None
Advertising sales agents,41-3011,High school diploma or equivalent,None
Insurance sales agents,41-3021,High school diploma or equivalent,None
"Securities, commodities, and financial services sales agents",41-3031,Bachelor's degree,None
Travel agents,41-3041,High school diploma or equivalent,None
"Sales representatives of services, except advertising, insurance, financial services, and travel",41-3091,High school diploma or equivalent,None
"Sales representatives, wholesale and manufacturing, technical and scientific products",41-4011,Bachelor's degree,None
"Sales representatives, wholesale and manufacturing, except technical and scientific products",41-4012,High school diploma or equivalent,None
Demonstrators and product promoters,41-9011,No formal educational credential,None
Models,41-9012,No formal educational credential,None
Real estate brokers,41-9021,High school diploma or equivalent,Less than 5 years
Real estate sales agents,41-9022,High school diploma or equivalent,None
Sales engineers,41-9031,Bachelor's degree,None
Telemarketers,41-9041,No formal educational credential,None
"Door-to-door sales workers, news and street vendors, and related workers",41-9091,No formal educational credential,None
"Sales and related workers, all other",41-9099,High school diploma or equivalent,None
First-line supervisors of office and administrative support workers,43-1011,High school diploma or equivalent,Less than 5 years
"Switchboard operators, including answering service",43-2011,High school diploma or equivalent,None
Telephone operators,43-2021,High school diploma or equivalent,None
"Communications equipment operators, all other",43-2099,High school diploma or equivalent,None
Bill and account collectors,43-3011,High school diploma or equivalent,None
Billing and posting clerks,43-3021,High school diploma or equivalent,None
"Bookkeeping, accounting, and auditing clerks",43-3031,"Some college, no degree",None
Gambling cage workers,43-3041,High school diploma or equivalent,None
Payroll and timekeeping clerks,43-3051,High school diploma or equivalent,None
Procurement clerks,43-3061,High school diploma or equivalent,None
Tellers,43-3071,High school diploma or equivalent,None
"Financial clerks, all other",43-3099,High school diploma or equivalent,None
Brokerage clerks,43-4011,High school diploma or equivalent,None
Correspondence clerks,43-4021,High school diploma or equivalent,None
"Court, municipal, and license clerks",43-4031,High school diploma or equivalent,None
"Credit authorizers, checkers, and clerks",43-4041,High school diploma or equivalent,None
Customer service representatives,43-4051,High school diploma or equivalent,None
"Eligibility interviewers, government programs",43-4061,High school diploma or equivalent,None
File clerks,43-4071,High school diploma or equivalent,None
"Hotel, motel, and resort desk clerks",43-4081,High school diploma or equivalent,None
"Interviewers, except eligibility and loan",43-4111,High school diploma or equivalent,None
"Library assistants, clerical",43-4121,High school diploma or equivalent,None
Loan interviewers and clerks,43-4131,High school diploma or equivalent,None
New accounts clerks,43-4141,High school diploma or equivalent,None
Order clerks,43-4151,"Some college, no degree",None
"Human resources assistants, except payroll and timekeeping",43-4161,Associate's degree,None
Receptionists and information clerks,43-4171,High school diploma or equivalent,None
Reservation and transportation ticket agents and travel clerks,43-4181,High school diploma or equivalent,None
"Information and record clerks, all other",43-4199,High school diploma or equivalent,None
Cargo and freight agents,43-5011,High school diploma or equivalent,None
Couriers and messengers,43-5021,High school diploma or equivalent,None
Public safety telecommunicators,43-5031,High school diploma or equivalent,None
"Dispatchers, except police, fire, and ambulance",43-5032,High school diploma or equivalent,None
"Meter readers, utilities",43-5041,High school diploma or equivalent,None
Postal service clerks,43-5051,No formal educational credential,None
Postal service mail carriers,43-5052,No formal educational credential,None
"Postal service mail sorters, processors, and processing machine operators",43-5053,No formal educational credential,None
"Production, planning, and expediting clerks",43-5061,High school diploma or equivalent,None
"Shipping, receiving, and inventory clerks",43-5071,High school diploma or equivalent,None
"Weighers, measurers, checkers, and samplers, recordkeeping",43-5111,High school diploma or equivalent,None
Executive secretaries and executive administrative assistants,43-6011,High school diploma or equivalent,Less than 5 years
Legal secretaries and administrative assistants,43-6012,High school diploma or equivalent,None
Medical secretaries and administrative assistants,43-6013,High school diploma or equivalent,None
"Secretaries and administrative assistants, except legal, medical, and executive",43-6014,High school diploma or equivalent,None
Data entry keyers,43-9021,High school diploma or equivalent,None
Word processors and typists,43-9022,High school diploma or equivalent,None
Desktop publishers,43-9031,Associate's degree,None
Insurance claims and policy processing clerks,43-9041,High school diploma or equivalent,None
"Mail clerks and mail machine operators, except postal service",43-9051,High school diploma or equivalent,None
"Office clerks, general",43-9061,High school diploma or equivalent,None
"Office machine operators, except computer",43-9071,High school diploma or equivalent,None
Proofreaders and copy markers,43-9081,Bachelor's degree,None
Statistical assistants,43-9111,Bachelor's degree,None
"Office and administrative support workers, all other",43-9199,High school diploma or equivalent,None
"First-line supervisors of farming, fishing, and forestry workers",45-1011,High school diploma or equivalent,Less than 5 years
Agricultural inspectors,45-2011,Bachelor's degree,None
Animal breeders,45-2021,High school diploma or equivalent,None
"Graders and sorters, agricultural products",45-2041,No formal educational credential,None
Agricultural equipment operators,45-2091,No formal educational credential,None
"Farmworkers and laborers, crop, nursery, and greenhouse",45-2092,No formal educational credential,None
"Farmworkers, farm, ranch, and aquacultural animals",45-2093,No formal educational credential,None
"Agricultural workers, all other",45-2099,No formal educational credential,None
Fishing and hunting workers,45-3031,No formal educational credential,None
Forest and conservation workers,45-4011,High school diploma or equivalent,None
Fallers,45-4021,High school diploma or equivalent,None
Logging equipment operators,45-4022,High school diploma or equivalent,None
Log graders and scalers,45-4023,High school diploma or equivalent,None
"Logging workers, all other",45-4029,High school diploma or equivalent,None
First-line supervisors of construction trades and extraction workers,47-1011,High school diploma or equivalent,5 years or more
Boilermakers,47-2011,High school diploma or equivalent,None
Brickmasons and blockmasons,47-2021,High school diploma or equivalent,None
Stonemasons,47-2022,High school diploma or equivalent,None
Carpenters,47-2031,High school diploma or equivalent,None
Carpet installers,47-2041,No formal educational credential,None
"Floor layers, except carpet, wood, and hard tiles",47-2042,No formal educational credential,None
Floor sanders and finishers,47-2043,No formal educational credential,None
Tile and stone setters,47-2044,No formal educational credential,None
Cement masons and concrete finishers,47-2051,No formal educational credential,None
Terrazzo workers and finishers,47-2053,High school diploma or equivalent,None
Construction laborers,47-2061,No formal educational credential,None
"Paving, surfacing, and tamping equipment operators",47-2071,High school diploma or equivalent,None
Pile driver operators,47-2072,High school diploma or equivalent,None
Operating engineers and other construction equipment operators,47-2073,High school diploma or equivalent,None
Drywall and ceiling tile installers,47-2081,No formal educational credential,None
Tapers,47-2082,No formal educational credential,None
Electricians,47-2111,High school diploma or equivalent,None
Glaziers,47-2121,High school diploma or equivalent,None
"Insulation workers, floor, ceiling, and wall",47-2131,No formal educational credential,None
"Insulation workers, mechanical",47-2132,High school diploma or equivalent,None
"Painters, construction and maintenance",47-2141,No formal educational credential,None
Paperhangers,47-2142,No formal educational credential,None
Pipelayers,47-2151,No formal educational credential,None
"Plumbers, pipefitters, and steamfitters",47-2152,High school diploma or equivalent,None
Plasterers and stucco masons,47-2161,No formal educational credential,None
Reinforcing iron and rebar workers,47-2171,High school diploma or equivalent,None
Roofers,47-2181,No formal educational credential,None
Sheet metal workers,47-2211,High school diploma or equivalent,None
Structural iron and steel workers,47-2221,High school diploma or equivalent,None
Solar photovoltaic installers,47-2231,High school diploma or equivalent,None
"Helpers--brickmasons, blockmasons, stonemasons, and tile and marble setters",47-3011,No formal educational credential,None
Helpers--carpenters,47-3012,No formal educational credential,None
Helpers--electricians,47-3013,High school diploma or equivalent,None
"Helpers--painters, paperhangers, plasterers, and stucco masons",47-3014,No formal educational credential,None
"Helpers--pipelayers, plumbers, pipefitters, and steamfitters",47-3015,High school diploma or equivalent,None
Helpers--roofers,47-3016,No formal educational credential,None
"Helpers, construction trades, all other",47-3019,No formal educational credential,None
Construction and building inspectors,47-4011,High school diploma or equivalent,5 years or more
Elevator and escalator installers and repairers,47-4021,High school diploma or equivalent,None
Fence erectors,47-4031,No formal educational credential,None
Hazardous materials removal workers,47-4041,High school diploma or equivalent,None
Highway maintenance workers,47-4051,High school diploma or equivalent,None
Rail-track laying and maintenance equipment operators,47-4061,High school diploma or equivalent,None
Septic tank servicers and sewer pipe cleaners,47-4071,High school diploma or equivalent,None
Miscellaneous construction and related workers,47-4090,High school diploma or equivalent,None
"Derrick operators, oil and gas",47-5011,No formal educational credential,None
"Rotary drill operators, oil and gas",47-5012,No formal educational credential,None
"Service unit operators, oil and gas",47-5013,No formal educational credential,None
"Excavating and loading machine and dragline operators, surface mining",47-5022,High school diploma or equivalent,Less than 5 years
"Earth drillers, except oil and gas",47-5023,High school diploma or equivalent,Less than 5 years
"Explosives workers, ordnance handling experts, and blasters",47-5032,High school diploma or equivalent,Less than 5 years
Continuous mining machine operators,47-5041,No formal educational credential,None
"Roof bolters, mining",47-5043,High school diploma or equivalent,None
"Loading and moving machine operators, underground mining",47-5044,No formal educational credential,None
"Underground mining machine operators, all other",47-5049,No formal educational credential,None
"Rock splitters, quarry",47-5051,No formal educational credential,None
"Roustabouts, oil and gas",47-5071,No formal educational credential,None
Helpers--extraction workers,47-5081,High school diploma or equivalent,None
"Extraction workers, all other",47-5099,High school diploma or equivalent,None
"First-line supervisors of mechanics, installers, and repairers",49-1011,High school diploma or equivalent,Less than 5 years
"Computer, automated teller, and office machine repairers",49-2011,"Some college, no degree",None
"Radio, cellular, and tower equipment installers and repairers",49-2021,Associate's degree,None
"Telecommunications equipment installers and repairers, except line installers",49-2022,Postsecondary nondegree award,None
Avionics technicians,49-2091,Postsecondary nondegree award,None
"Electric motor, power tool, and related repairers",49-2092,High school diploma or equivalent,Less than 5 years
"Electrical and electronics installers and repairers, transportation equipment",49-2093,Postsecondary nondegree award,None
"Electrical and electronics repairers, commercial and industrial equipment",49-2094,Postsecondary nondegree award,None
"Electrical and electronics repairers, powerhouse, substation, and relay",49-2095,Postsecondary nondegree award,Less than 5 years
"Electronic equipment installers and repairers, motor vehicles",49-2096,High school diploma or equivalent,None
Audiovisual equipment installers and repairers,49-2097,Postsecondary nondegree award,None
Security and fire alarm systems installers,49-2098,High school diploma or equivalent,None
Aircraft mechanics and service technicians,49-3011,Postsecondary nondegree award,None
Automotive body and related repairers,49-3021,High school diploma or equivalent,None
Automotive glass installers and repairers,49-3022,High school diploma or equivalent,None
Automotive service technicians and mechanics,49-3023,Postsecondary nondegree award,None
Bus and truck mechanics and diesel engine specialists,49-3031,High school diploma or equivalent,None
Farm equipment mechanics and service technicians,49-3041,High school diploma or equivalent,None
"Mobile heavy equipment mechanics, except engines",49-3042,High school diploma or equivalent,None
Rail car repairers,49-3043,High school diploma or equivalent,None
Motorboat mechanics and service technicians,49-3051,High school diploma or equivalent,None
Motorcycle mechanics,49-3052,Postsecondary nondegree award,None
Outdoor power equipment and other small engine mechanics,49-3053,High school diploma or equivalent,None
Bicycle repairers,49-3091,High school diploma or equivalent,None
Recreational vehicle service technicians,49-3092,High school diploma or equivalent,None
Tire repairers and changers,49-3093,High school diploma or equivalent,None
Mechanical door repairers,49-9011,High school diploma or equivalent,None
"Control and valve installers and repairers, except mechanical door",49-9012,High school diploma or equivalent,None
"Heating, air conditioning, and refrigeration mechanics and installers",49-9021,Postsecondary nondegree award,None
Home appliance repairers,49-9031,High school diploma or equivalent,None
Industrial machinery mechanics,49-9041,High school diploma or equivalent,None
"Maintenance workers, machinery",49-9043,High school diploma or equivalent,None
Millwrights,49-9044,High school diploma or equivalent,None
"Refractory materials repairers, except brickmasons",49-9045,High school diploma or equivalent,None
Electrical power-line installers and repairers,49-9051,High school diploma or equivalent,None
Telecommunications line installers and repairers,49-9052,High school diploma or equivalent,None
Camera and photographic equipment repairers,49-9061,High school diploma or equivalent,None
Medical equipment repairers,49-9062,Associate's degree,None
Musical instrument repairers and tuners,49-9063,High school diploma or equivalent,None
Watch and clock repairers,49-9064,High school diploma or equivalent,None
"Precision instrument and equipment repairers, all other",49-9069,High school diploma or equivalent,None
"Maintenance and repair workers, general",49-9071,High school diploma or equivalent,None
Wind turbine service technicians,49-9081,Postsecondary nondegree award,None
"Coin, vending, and amusement machine servicers and repairers",49-9091,High school diploma or equivalent,None
Commercial divers,49-9092,Postsecondary nondegree award,None
Locksmiths and safe repairers,49-9094,High school diploma or equivalent,None
Manufactured building and mobile home installers,49-9095,High school diploma or equivalent,None
Riggers,49-9096,High school diploma or equivalent,None
Signal and track switch repairers,49-9097,High school diploma or equivalent,None
"Helpers--installation, maintenance, and repair workers",49-9098,High school diploma or equivalent,None
"Installation, maintenance, and repair workers, all other",49-9099,High school diploma or equivalent,None
First-line supervisors of production and operating workers,51-1011,High school diploma or equivalent,Less than 5 years
"Aircraft structure, surfaces, rigging, and systems assemblers",51-2011,High school diploma or equivalent,None
"Coil winders, tapers, and finishers",51-2021,High school diploma or equivalent,None
"Electrical, electronic, and electromechanical assemblers, except coil winders, tapers, and finishers",51-2028,High school diploma or equivalent,None
Engine and other machine assemblers,51-2031,High school diploma or equivalent,None
Structural metal fabricators and fitters,51-2041,High school diploma or equivalent,None
Fiberglass laminators and fabricators,51-2051,High school diploma or equivalent,None
Timing device assemblers and adjusters,51-2061,High school diploma or equivalent,None
Miscellaneous assemblers and fabricators,51-2090,High school diploma or equivalent,None
Bakers,51-3011,No formal educational credential,None
Butchers and meat cutters,51-3021,No formal educational credential,None
"Meat, poultry, and fish cutters and trimmers",51-3022,No formal educational credential,None
Slaughterers and meat packers,51-3023,No formal educational credential,None
"Food and tobacco roasting, baking, and drying machine operators and tenders",51-3091,No formal educational credential,None
Food batchmakers,51-3092,High school diploma or equivalent,None
Food cooking machine operators and tenders,51-3093,High school diploma or equivalent,None
"Food processing workers, all other",51-3099,No formal educational credential,None
"Extruding and drawing machine setters, operators, and tenders, metal and plastic",51-4021,High school diploma or equivalent,None
"Forging machine setters, operators, and tenders, metal and plastic",51-4022,High school diploma or equivalent,None
"Rolling machine setters, operators, and tenders, metal and plastic",51-4023,High school diploma or equivalent,None
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",51-4031,High school diploma or equivalent,None
"Drilling and boring machine tool setters, operators, and tenders, metal and plastic",51-4032,High school diploma or equivalent,None
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",51-4033,High school diploma or equivalent,None
"Lathe and turning machine tool setters, operators, and tenders, metal and plastic",51-4034,High school diploma or equivalent,None
"Milling and planing machine setters, operators, and tenders, metal and plastic",51-4035,High school diploma or equivalent,None
Machinists,51-4041,High school diploma or equivalent,None
Metal-refining furnace operators and tenders,51-4051,High school diploma or equivalent,None
"Pourers and casters, metal",51-4052,High school diploma or equivalent,None
"Model makers, metal and plastic",51-4061,High school diploma or equivalent,None
"Patternmakers, metal and plastic",51-4062,High school diploma or equivalent,None
Foundry mold and coremakers,51-4071,High school diploma or equivalent,None
"Molding, coremaking, and casting machine setters, operators, and tenders, metal and plastic",51-4072,High school diploma or equivalent,None
"Multiple machine tool setters, operators, and tenders, metal and plastic",51-4081,High school diploma or equivalent,None
Tool and die makers,51-4111,Postsecondary nondegree award,None
"Welders, cutters, solderers, and brazers",51-4121,High school diploma or equivalent,None
"Welding, soldering, and brazing machine setters, operators, and tenders",51-4122,High school diploma or equivalent,None
"Heat treating equipment setters, operators, and tenders, metal and plastic",51-4191,High school diploma or equivalent,None
"Layout workers, metal and plastic",51-4192,High school diploma or equivalent,None
"Plating machine setters, operators, and tenders, metal and plastic",51-4193,High school diploma or equivalent,None
"Tool grinders, filers, and sharpeners",51-4194,High school diploma or equivalent,None
"Metal workers and plastic workers, all other",51-4199,High school diploma or equivalent,None
Prepress technicians and workers,51-5111,Postsecondary nondegree award,None
Printing press operators,51-5112,High school diploma or equivalent,None
Print binding and finishing workers,51-5113,High school diploma or equivalent,None
Laundry and dry-cleaning workers,51-6011,No formal educational credential,None
"Pressers, textile, garment, and related materials",51-6021,No formal educational credential,None
Sewing machine operators,51-6031,No formal educational credential,None
Shoe and leather workers and repairers,51-6041,High school diploma or equivalent,None
Shoe machine operators and tenders,51-6042,High school diploma or equivalent,None
"Sewers, hand",51-6051,No formal educational credential,None
"Tailors, dressmakers, and custom sewers",51-6052,No formal educational credential,None
Textile bleaching and dyeing machine operators and tenders,51-6061,High school diploma or equivalent,None
"Textile cutting machine setters, operators, and tenders",51-6062,High school diploma or equivalent,None
"Textile knitting and weaving machine setters, operators, and tenders",51-6063,High school diploma or equivalent,None
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",51-6064,High school diploma or equivalent,None
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",51-6091,High school diploma or equivalent,None
Fabric and apparel patternmakers,51-6092,High school diploma or equivalent,None
Upholsterers,51-6093,High school diploma or equivalent,None
"Textile, apparel, and furnishings workers, all other",51-6099,High school diploma or equivalent,None
Cabinetmakers and bench carpenters,51-7011,High school diploma or equivalent,None
Furniture finishers,51-7021,High school diploma or equivalent,None
"Model makers, wood",51-7031,High school diploma or equivalent,None
"Patternmakers, wood",51-7032,High school diploma or equivalent,None
"Sawing machine setters, operators, and tenders, wood",51-7041,High school diploma or equivalent,None
"Woodworking machine setters, operators, and tenders, except sawing",51-7042,High school diploma or equivalent,None
"Woodworkers, all other",51-7099,High school diploma or equivalent,None
Nuclear power reactor operators,51-8011,High school diploma or equivalent,None
Power distributors and dispatchers,51-8012,High school diploma or equivalent,None
Power plant operators,51-8013,High school diploma or equivalent,None
Stationary engineers and boiler operators,51-8021,High school diploma or equivalent,None
Water and wastewater treatment plant and system operators,51-8031,High school diploma or equivalent,None
Chemical plant and system operators,51-8091,High school diploma or equivalent,None
Gas plant operators,51-8092,High school diploma or equivalent,None
"Petroleum pump system operators, refinery operators, and gaugers",51-8093,High school diploma or equivalent,None
"Plant and system operators, all other",51-8099,High school diploma or equivalent,None
Chemical equipment operators and tenders,51-9011,High school diploma or equivalent,None
"Separating, filtering, clarifying, precipitating, and still machine setters, operators, and tenders",51-9012,High school diploma or equivalent,None
"Crushing, grinding, and polishing machine setters, operators, and tenders",51-9021,High school diploma or equivalent,None
"Grinding and polishing workers, hand",51-9022,No formal educational credential,None
"Mixing and blending machine setters, operators, and tenders",51-9023,High school diploma or equivalent,None
"Cutters and trimmers, hand",51-9031,No formal educational credential,None
"Cutting and slicing machine setters, operators, and tenders",51-9032,High school diploma or equivalent,None
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",51-9041,High school diploma or equivalent,None
"Furnace, kiln, oven, drier, and kettle operators and tenders",51-9051,High school diploma or equivalent,None
"Inspectors, testers, sorters, samplers, and weighers",51-9061,High school diploma or equivalent,None
Jewelers and precious stone and metal workers,51-9071,High school diploma or equivalent,None
Dental laboratory technicians,51-9081,High school diploma or equivalent,None
Medical appliance technicians,51-9082,High school diploma or equivalent,None
Ophthalmic laboratory technicians,51-9083,High school diploma or equivalent,None
Packaging and filling machine operators and tenders,51-9111,High school diploma or equivalent,None
"Painting, coating, and decorating workers",51-9123,No formal educational credential,None
"Coating, painting, and spraying machine setters, operators, and tenders",51-9124,High school diploma or equivalent,None
Semiconductor processing technicians,51-9141,High school diploma or equivalent,None
Photographic process workers and processing machine operators,51-9151,High school diploma or equivalent,None
Computer numerically controlled tool operators,51-9161,High school diploma or equivalent,None
Computer numerically controlled tool programmers,51-9162,Postsecondary nondegree award,None
Adhesive bonding machine operators and tenders,51-9191,High school diploma or equivalent,None
"Cleaning, washing, and metal pickling equipment operators and tenders",51-9192,High school diploma or equivalent,None
Cooling and freezing equipment operators and tenders,51-9193,High school diploma or equivalent,None
Etchers and engravers,51-9194,High school diploma or equivalent,None
"Molders, shapers, and casters, except metal and plastic",51-9195,High school diploma or equivalent,None
"Paper goods machine setters, operators, and tenders",51-9196,High school diploma or equivalent,None
Tire builders,51-9197,High school diploma or equivalent,None
Helpers--production workers,51-9198,High school diploma or equivalent,None
"Production workers, all other",51-9199,High school diploma or equivalent,None
Aircraft cargo handling supervisors,53-1041,High school diploma or equivalent,Less than 5 years
"First-line supervisors of transportation and material moving workers, except aircraft cargo handling supervisors",53-1047,High school diploma or equivalent,Less than 5 years
"Airline pilots, copilots, and flight engineers",53-2011,Bachelor's degree,Less than 5 years
Commercial pilots,53-2012,Postsecondary nondegree award,None
Air traffic controllers,53-2021,Associate's degree,None
Airfield operations specialists,53-2022,High school diploma or equivalent,None
Flight attendants,53-2031,High school diploma or equivalent,Less than 5 years
"Ambulance drivers and attendants, except emergency medical technicians",53-3011,High school diploma or equivalent,None
Driver/sales workers,53-3031,High school diploma or equivalent,None
Heavy and tractor-trailer truck drivers,53-3032,Postsecondary nondegree award,None
Light truck drivers,53-3033,High school diploma or equivalent,None
"Bus drivers, school",53-3051,High school diploma or equivalent,None
"Bus drivers, transit and intercity",53-3052,High school diploma or equivalent,None
Shuttle drivers and chauffeurs,53-3053,No formal educational credential,None
Taxi drivers,53-3054,No formal educational credential,None
"Motor vehicle operators, all other",53-3099,No formal educational credential,None
Locomotive engineers,53-4011,High school diploma or equivalent,Less than 5 years
"Rail yard engineers, dinkey operators, and hostlers",53-4013,High school diploma or equivalent,None
"Railroad brake, signal, and switch operators and locomotive firers",53-4022,High school diploma or equivalent,None
Railroad conductors and yardmasters,53-4031,High school diploma or equivalent,None
Subway and streetcar operators,53-4041,High school diploma or equivalent,None
"Rail transportation workers, all other",53-4099,High school diploma or equivalent,None
Sailors and marine oilers,53-5011,No formal educational credential,None
"Captains, mates, and pilots of water vessels",53-5021,Postsecondary nondegree award,Less than 5 years
Motorboat operators,53-5022,Postsecondary nondegree award,Less than 5 years
Ship engineers,53-5031,Postsecondary nondegree award,Less than 5 years
Bridge and lock tenders,53-6011,High school diploma or equivalent,None
Parking attendants,53-6021,No formal educational credential,None
Automotive and watercraft service attendants,53-6031,No formal educational credential,None
Aircraft service attendants,53-6032,High school diploma or equivalent,None
Traffic technicians,53-6041,High school diploma or equivalent,None
Transportation inspectors,53-6051,High school diploma or equivalent,None
Passenger attendants,53-6061,High school diploma or equivalent,None
"Transportation workers, all other",53-6099,High school diploma or equivalent,None
Conveyor operators and tenders,53-7011,No formal educational credential,None
Crane and tower operators,53-7021,High school diploma or equivalent,Less than 5 years
Dredge operators,53-7031,High school diploma or equivalent,None
Hoist and winch operators,53-7041,No formal educational credential,None
Industrial truck and tractor operators,53-7051,No formal educational credential,None
Cleaners of vehicles and equipment,53-7061,No formal educational credential,None
"Laborers and freight, stock, and material movers, hand",53-7062,No formal educational credential,None
Machine feeders and offbearers,53-7063,No formal educational credential,None
"Packers and packagers, hand",53-7064,No formal educational credential,None
Stockers and order fillers,53-7065,High school diploma or equivalent,None
Gas compressor and gas pumping station operators,53-7071,High school diploma or equivalent,None
"Pump operators, except wellhead pumpers",53-7072,High school diploma or equivalent,None
Wellhead pumpers,53-7073,High school diploma or equivalent,Less than 5 years
Refuse and recyclable material collectors,53-7081,No formal educational credential,None
"Tank car, truck, and ship loaders",53-7121,No formal educational credential,None
"Material moving workers, all other",53-7199,No formal educational credential,None
"Source: Employment Projections program, U.S. Bureau of Labor Statistics",,,
